I0,I1,I2,I3,I4,I5
-0.010000,-0.990000,-0.060000,-31.870001,-18.510000,-31.180000
-0.700000,-1.020000,-0.030000,-15.660000,10.210000,-45.680000
-0.520000,-0.980000,-0.010000,-7.310000,4.880000,37.529999
-0.110000,-0.960000,0.040000,26.299999,2.420000,55.639999
0.150000,-0.900000,0.060000,-8.290000,-7.080000,15.370000
-0.110000,-0.970000,-0.080000,-23.750000,-19.190001,-29.150000
-0.750000,-0.990000,-0.070000,-23.059999,16.389999,-53.230000
-0.350000,-1.040000,0.190000,4.710000,17.639999,28.980000
-0.130000,-0.930000,-0.050000,17.139999,11.560000,49.980000
0.000000,-0.900000,0.080000,-2.100000,-9.450000,19.500000
-0.150000,-1.000000,-0.070000,-26.469999,-20.490000,-31.290001
-0.560000,-1.020000,-0.020000,-20.600000,4.950000,-36.590000
-0.310000,-1.030000,0.150000,6.980000,16.170000,18.270000
-0.180000,-0.990000,0.040000,7.410000,5.540000,49.759998
-0.030000,-0.900000,0.000000,0.200000,-9.660000,26.930000
-0.080000,-0.900000,0.040000,-12.450000,-16.820000,-13.170000
-0.440000,-1.030000,0.000000,-34.849998,-7.980000,-45.889999
-0.620000,-1.040000,-0.030000,-4.760000,4.270000,13.730000
-0.310000,-0.970000,-0.070000,11.460000,14.160000,42.189999
-0.070000,-0.880000,0.000000,4.340000,-7.640000,40.439999
-0.020000,-0.880000,0.060000,-1.850000,-11.460000,-6.500000
-0.380000,-1.010000,-0.050000,-36.009998,-3.980000,-53.119999
-0.630000,-0.990000,0.040000,-17.570000,10.600000,-10.010000
-0.470000,-0.950000,0.000000,18.600000,28.809999,26.730000
-0.130000,-0.930000,-0.080000,1.630000,-13.730000,43.189999
-0.050000,-0.910000,0.080000,-4.360000,-3.520000,-4.270000
-0.150000,-1.010000,-0.090000,-21.690001,-11.440000,-33.160000
-0.590000,-1.010000,-0.010000,-16.450001,8.800000,-31.850000
-0.390000,-1.020000,0.070000,5.300000,13.690000,27.570000
-0.240000,-0.900000,0.120000,-5.310000,1.880000,32.650002
-0.010000,-0.880000,0.090000,-4.370000,-11.280000,21.950001
-0.100000,-0.960000,-0.030000,-7.230000,-15.400000,-21.299999
-0.470000,-1.010000,-0.040000,-24.900000,-6.670000,-49.139999
-0.550000,-1.030000,0.120000,-5.930000,-2.310000,16.540001
-0.290000,-0.940000,0.040000,0.330000,1.670000,35.700001
-0.050000,-0.890000,-0.080000,-0.310000,-18.910000,39.080002
-0.010000,-0.930000,0.010000,-5.780000,-1.950000,-19.420000
-0.450000,-1.010000,-0.020000,-18.730000,-0.880000,-42.730000
-0.610000,-1.020000,-0.020000,-8.370000,-0.950000,6.530000
-0.410000,-0.960000,-0.090000,2.800000,2.670000,34.230000
-0.150000,-0.910000,0.000000,-1.740000,-9.850000,37.209999
0.020000,-0.900000,0.030000,-2.630000,-3.890000,-1.470000
-0.270000,-1.010000,-0.100000,-15.080000,-5.690000,-38.980000
-0.700000,-0.990000,-0.030000,-17.790001,1.680000,-20.040001
-0.420000,-1.000000,0.070000,-4.100000,11.460000,20.040001
-0.270000,-0.930000,0.000000,2.140000,-6.600000,43.430000
-0.070000,-0.900000,-0.010000,4.350000,-11.590000,23.020000
-0.100000,-0.980000,-0.090000,-0.900000,-21.340000,-24.680000
-0.640000,-0.990000,0.030000,-24.209999,-0.460000,-46.369999
-0.510000,-1.000000,0.060000,2.630000,17.100000,13.710000
-0.200000,-0.960000,0.150000,-5.200000,-4.270000,55.090000
0.130000,-0.900000,0.100000,-5.900000,-24.080000,35.939999
-0.040000,-0.910000,-0.020000,-9.180000,-12.630000,-43.400002
-0.720000,-1.100000,-0.010000,-20.150000,14.870000,-62.389999
-0.470000,-1.000000,0.060000,-15.530000,1.340000,24.600000
-0.210000,-0.930000,0.020000,1.970000,6.900000,52.720001
0.010000,-0.890000,0.060000,-2.480000,-1.790000,16.830000
-0.100000,-0.960000,0.000000,-6.300000,-15.950000,-25.900000
-0.670000,-1.000000,-0.080000,-23.410000,20.469999,-58.910000
-0.600000,-0.970000,0.010000,9.060000,6.270000,38.360001
-0.180000,-0.960000,-0.040000,-4.890000,9.680000,32.680000
-0.030000,-0.860000,0.100000,-6.330000,-6.550000,9.260000
-0.100000,-0.990000,-0.050000,-4.080000,-20.530001,-32.099998
-0.740000,-0.990000,-0.070000,-16.219999,8.500000,-42.060001
-0.660000,-0.990000,-0.150000,3.990000,35.869999,48.730000
-0.170000,-0.920000,-0.050000,2.500000,-19.809999,53.180000
-0.050000,-0.870000,0.130000,2.980000,-6.240000,-12.080000
-0.220000,-1.030000,-0.040000,-8.210000,-12.630000,-56.430000
-0.990000,-0.950000,-0.160000,-11.060000,36.689999,-35.580002
-0.290000,-1.030000,0.060000,9.110000,-15.020000,82.570000
0.100000,-0.940000,0.070000,2.420000,-1.180000,9.310000
-0.220000,-0.960000,0.180000,10.340000,-24.500000,-13.470000
-0.700000,-1.030000,-0.120000,-23.160000,21.090000,-78.220001
-0.560000,-0.980000,0.370000,-10.080000,1.940000,46.570000
-0.070000,-0.960000,-0.210000,-0.030000,-11.710000,56.860001
0.030000,-0.900000,0.110000,-4.370000,-3.010000,-9.400000
-0.190000,-1.030000,-0.060000,-13.810000,-28.030001,-42.209999
-0.920000,-0.940000,0.000000,-27.760000,23.120001,-24.469999
-0.270000,-1.000000,-0.080000,4.570000,6.360000,65.459999
